"State","City_County",NoInjured
"Alabama","Auburn",4
"Alabama","Birmingham",11
"Alabama","Brandon",6
"Alabama","Demopolis",2
"Alabama","Huntsville",4
"Alabama","Mobile",4
"Alabama","Montgomery",4
"Alabama","Wetumpka",2
"Arizona","Globe",1
"Arizona","Phoenix",4
"Arkansas","El Dorado",2
"Arkansas","Fort Smith",4
"Arkansas","Little Rock",1
"Arkansas","Pine Bluff",7
"California","Bakersfield",4
"California","Baldwin Park",4
"California","Clearlake",1
"California","Compton",3
"California","Gardena",3
"California","Inglewood",5
"California","Long Beach (North Long Beach)",4
"California","Los Angeles",14
"California","Los Angeles (Watts)",4
"California","Modesto",5
"California","Oakland",15
"California","Palo Alto (East Palo Alto)",2
"California","Riverside",7
"California","San Bernardino",11
"California","San Diego",5
"California","San Francisco",9
"California","Stockton",2
"California","Thousand Oaks",2
"California","Tracy",4
"California","Union City",5
"California","Vallejo",7
"California","Valley Village",6
"Colorado","Aurora",6
"Colorado","Colorado Springs",3
"Colorado","Denver",8
"Colorado","Thornton",3
"Colorado","Westminster",3
"Connecticut","Hartford",4
"Connecticut","Delaware",0
"Connecticut","Wilmington",0
"District of Columbia","Washington",16
"Florida","Bradenton",5
"Florida","Fort Lauderdale (Lauderhill)",3
"Florida","Indiantown",4
"Florida","Jacksonville",23
"Florida","Miami",17
"Florida","Orlando",9
"Florida","Palm Beach Gardens (Riviera Beach)",7
"Florida","Pompano Beach",4
"Florida","Punta Gorda",4
"Florida","Reddick",4
"Florida","Tallahassee",5
"Florida","West Palm Beach",3
"Georgia","Albany",4
"Georgia","Ashburn",6
"Georgia","Atlanta",7
"Georgia","Columbus",5
"Georgia","Macon",3
"Georgia","Savannah",4
"Georgia","Swainsboro",4
"Illinois","Aurora",7
"Illinois","Bloomington",3
"Illinois","Chicago",118
"Illinois","Chicago Heights",4
"Illinois","Elgin",3
"Indiana","Anderson",4
"Indiana","Fort Wayne",2
"Indiana","Gary",6
"Indiana","Indianapolis",2
"Indiana","Indianapolis (Lawrence)",4
"Kansas","Wichita",4
"Louisiana","Baton Rouge",1
"Louisiana","Lutcher",2
"Louisiana","Morganza",4
"Louisiana","Natchitoches",3
"Louisiana","New Orleans",23
"Louisiana","New Orleans (Algiers)",4
"Louisiana","Shreveport",10
"Maryland","Aberdeen",3
"Maryland","Annapolis",0
"Maryland","Baltimore",23
"Maryland","Fort Washington",4
"Maryland","Silver Spring",1
"Massachusetts","Boston",4
"Michigan","Detroit",7
"Michigan","Flint",4
"Michigan","Lansing",4
"Michigan","Saginaw",5
"Minnesota","Minneapolis",14
"Mississippi","Byhalia",4
"Mississippi","Hazlehurst",7
"Missouri","Kansas City",6
"Missouri","Saint Charles",1
"Missouri","Saint Louis",30
"Missouri","Springfield",9
"Nebraska","Omaha",16
"Nevada","Las Vegas",15
"New Jersey","Asbury Park",5
"New Jersey","Camden",4
"New Jersey","Elizabeth",4
"New Jersey","Jersey City",8
"New Jersey","Paterson",6
"New Jersey","Paulsboro",4
"New Jersey","Trenton",23
"New Mexico","Espanola (Española)",3
"New Mexico","Gallup",1
"New York","Albany",4
"New York","Bronx",8
"New York","Brooklyn",8
"New York","Buffalo",11
"New York","Corona (Queens)",5
"New York","Hempstead",4
"New York","Syracuse",5
"New York","Watertown",5
"North Carolina","Asheville",3
"North Carolina","Charlotte",4
"North Carolina","Dunn",1
"North Carolina","Henderson",4
"North Carolina","Hickory",3
"North Carolina","Kannapolis",4
"North Carolina","Laurinburg",3
"North Carolina","Maxton",5
"North Carolina","Monroe",3
"North Carolina","Sanford",6
"Ohio","Cincinnati",6
"Ohio","Cleveland",18
"Ohio","Columbus",4
"Ohio","Lima",8
"Ohio","Sandusky",5
"Oklahoma","Oklahoma City",4
"Oklahoma","Stillwater",4
"Oklahoma","Talihina",4
"Oklahoma","Tulsa",4
"Pennsylvania","Homestead (Munhall)",3
"Pennsylvania","Masontown",4
"Pennsylvania","Philadelphia",32
"Pennsylvania","Pittsburgh",7
"Pennsylvania","Pittsburgh (East Liberty)",4
"Pennsylvania","Wyncote",5
"Pennsylvania","York",4
"South Carolina","Florence",6
"South Carolina","Greenwood",5
"South Carolina","Spartanburg",6
"South Carolina","Timmonsville",2
"Tennessee","Antioch",3
"Tennessee","Chattanooga",5
"Tennessee","Columbia",0
"Tennessee","Covington",4
"Tennessee","Jackson",4
"Tennessee","Memphis",33
"Tennessee","Nashville",4
"Tennessee","Powell",4
"Tennessee","Wartburg",4
"Texas","Dallas",11
"Texas","Fort Worth",4
"Texas","Houston",13
"Texas","Plano",3
"Texas","Ponder",1
"Texas","Robstown",0
"Texas","San Antonio",8
"Texas","Santa Fe",13
"Texas","Taft",1
"Texas","Wichita Falls",3
"Virginia","Richmond",8
"Virginia","Virginia Beach",9
"Washington","Lakewood",3
"Washington","Seattle (Skyway)",2
"Washington","Sunnyside",4
"Wisconsin","Madison",4
"Wisconsin","Middleton",4
"Wisconsin","Milwaukee",8